algorithm,pca_dim,n_clusters,n_clusters_found_mean,variance_explained_mean,silhouette_mean,mi_mean,precision_mean,recall_mean,f1_mean,combined_score_mean,n_clusters_found_std,variance_explained_std,silhouette_std,mi_std,precision_std,recall_std,f1_std,combined_score_std
kmeans,8,3,3.0,0.6619908319926427,0.6215102285021173,0.32900922005766114,7.859173712214461,8.527801786228753,8.179828439039563,0.9505194485597785,0.0,6.798672665150252e-06,2.3076943136342953e-05,0.0,0.023660929240346046,0.0,0.01280721853808888,2.3076943136384238e-05
kmeans,8,4,4.0,0.6619908319926427,0.6366143311665725,0.3302191867292132,7.887570052152391,8.53740516661865,8.199618460701075,0.9668335178957855,0.0,6.798672665150252e-06,0.01709386295187518,0.003420087000967555,0.029118377192629087,0.013581230792020184,0.021032907718270988,0.020512048157121886
kmeans,8,5,5.0,0.6619908319926427,0.6631841445434956,0.33374114591263754,7.911111111111111,8.547008547008547,8.216775146563267,0.9969252904561331,0.0,6.798672665150252e-06,0.0017632984672137626,7.635257430195268e-05,0.012570787221094887,0.013581230792020184,0.01305648859689964,0.0018396501916399706
kmeans,8,7,7.0,0.6619908319926427,0.5540239673127312,0.3388589359700287,14.42072559730831,15.586286372803224,14.980868721965466,0.8928829032827599,0.0,6.798672665150252e-06,0.07463166887446733,0.0014186290886474624,4.640346603492684,5.011474162255565,4.818776271054938,0.07605029753168102
hierarchical,2,2,2.0,0.2500784151942746,0.8693220017516765,0.33212502097263435,13.883999999999999,100.0,24.38270520880896,1.2014470227243108,0.0,8.981832498908263e-11,9.537370669917713e-07,0.0,0.0,0.0,0.0,9.537370669646145e-07
hierarchical,2,3,3.0,0.2500784151942746,0.8751475865795184,0.3325942296595561,13.883999999999999,100.0,24.38270520880896,1.2077418162390745,0.0,8.981832498908263e-11,9.462493814968094e-07,0.0,0.0,0.0,0.0,9.462493815736444e-07
hierarchical,2,4,4.0,0.2500784151942746,0.8752518636389647,0.3326437758364205,13.883999999999999,100.0,24.38270520880896,1.2078956394753853,0.0,8.981832498908263e-11,9.461479880766089e-07,0.0,0.0,0.0,0.0,9.461479881043666e-07
hierarchical,2,5,5.0,0.2500784151942746,0.881107782094202,0.33328778884396293,13.883999999999999,100.0,24.38270520880896,1.214395570938165,0.0,8.981832498908263e-11,9.129318611826952e-07,0.0,0.0,0.0,0.0,9.129318611553384e-07
hierarchical,2,7,7.0,0.2500784151942746,0.8088298007561218,0.35784985773626926,76.86098654708519,98.76116392970327,86.44559324170974,1.1666796584923913,0.0,8.981832498908263e-11,3.5140171240332253e-06,5.551115123125783e-17,0.0,1.4210854715202004e-14,0.0,3.514017124012726e-06
hierarchical,4,2,2.0,0.43117509635816414,0.7747289916670614,0.33135536997668824,13.883999999999999,100.0,24.38270520880896,1.1060843616437497,0.0,1.598848256068919e-09,0.00011235336093909477,0.00040450409383808853,0.0,0.0,0.0,0.0005168510739781304
hierarchical,4,3,3.0,0.43117509635816414,0.7871679667043301,0.33145848498426883,13.883999999999999,100.0,24.38270520880896,1.1186264516885989,0.0,1.598848256068919e-09,0.00011447706969057836,0.0004052831503564612,0.0,0.0,0.0,0.0005197539956834452
hierarchical,4,4,4.0,0.43117509635816414,0.8374222188857163,0.3323479556857018,81.96274541517717,92.55738019782963,86.93846947017953,1.1697701745714182,0.0,1.598848256068919e-09,0.00012556983785876085,0.00041407388855735936,0.010841775782823485,0.06790615396010174,0.03604931908236709,0.000539635813325173
hierarchical,4,5,5.0,0.43117509635816414,0.8411118241839671,0.3325781875092711,81.96274541517717,92.55738019782963,86.93846947017953,1.1736900116932383,0.0,1.598848256068919e-09,0.00012561651211985184,0.00041407388855733317,0.010841775782823485,0.06790615396010174,0.03604931908236709,0.0005396824968782471
hierarchical,4,7,7.0,0.43117509635816414,0.8416816709062317,0.3415858075040385,81.96274541517717,92.55738019782963,86.93846947017953,1.1832674784102701,0.0,1.598848256068919e-09,0.00013223726259668092,0.0004153123109862993,0.010841775782823485,0.06790615396010174,0.03604931908236709,0.0005475418368552855
hierarchical,6,2,2.0,0.5715889716524069,0.661108168231392,0.3322964553801592,13.883999999999999,100.0,24.38270520880896,0.9934046236115511,0.0,9.779818900896522e-07,5.6488458125167697e-05,0.0,0.0,0.0,0.0,5.6488458125167697e-05
hierarchical,6,3,3.0,0.5715889716524069,0.6735483236068878,0.3323864198801861,13.883999999999999,100.0,24.38270520880896,1.0059347434870738,0.0,9.779818900896522e-07,5.763322512223065e-05,0.0,0.0,0.0,0.0,5.763322512223065e-05
hierarchical,6,4,4.0,0.5715889716524069,0.6801110917953798,0.33287288883561483,13.883999999999999,100.0,24.38270520880896,1.0129839806309946,0.0,9.779818900896522e-07,5.887456774376272e-05,0.0,0.0,0.0,0.0,5.8874567743785686e-05
hierarchical,6,5,5.0,0.5715889716524069,0.7233952074936226,0.3330076485868381,82.02420808653103,91.76029962546816,86.61952678814252,1.0564028560804608,0.0,9.779818900896522e-07,6.413137403195115e-05,0.0,0.0,0.0,1.4210854715202004e-14,6.413137403198206e-05
hierarchical,6,7,7.0,0.5715889716524069,0.7206666679232211,0.34095320253718525,82.02420808653103,91.76029962546816,86.61952678814252,1.0616198704604063,0.0,9.779818900896522e-07,6.791362979857181e-05,5.551115123125783e-17,0.0,0.0,1.4210854715202004e-14,6.79136297986333e-05
hierarchical,8,2,2.0,0.6619908319926427,0.6031075066539537,0.332811561082606,13.883999999999999,100.0,24.38270520880896,0.9359190677365598,0.0,6.798672665150252e-06,2.4122614964302484e-05,0.0,0.0,0.0,0.0,2.4122614964302484e-05
hierarchical,8,3,3.0,0.6619908319926427,0.6143542333221325,0.3329154716151996,13.883999999999999,100.0,24.38270520880896,0.947269704937332,0.0,6.798672665150252e-06,2.4328263471436384e-05,0.0,0.0,0.0,0.0,2.4328263471424526e-05
hierarchical,8,4,4.0,0.6619908319926427,0.6210969295054133,0.33340398767098023,13.883999999999999,100.0,24.38270520880896,0.9545009171763935,0.0,6.798672665150252e-06,2.505895178094216e-05,0.0,0.0,0.0,0.0,2.505895178094216e-05
hierarchical,8,5,5.0,0.6619908319926427,0.661982892106906,0.3335361127609406,82.16494845360825,91.84673004897725,86.73649843558701,0.9955190048678465,0.0,6.798672665150252e-06,2.950555401817341e-05,0.0,0.0,0.0,0.0,2.9505554018210543e-05
hierarchical,8,7,7.0,0.6619908319926427,0.656023044197807,0.34112045246351635,82.16494845360825,91.84673004897725,86.73649843558701,0.9971434966613234,0.0,6.798672665150252e-06,3.1628782938887865e-05,0.0,0.0,0.0,0.0,3.1628782938851246e-05
dbscan,2,2,3.0,0.2500784151942746,0.8367556091742628,0.36804882769679653,65.12676056338029,99.91356957649093,78.85402455661665,1.2048044368710595,0.0,8.981832498908263e-11,4.585432672585692e-06,0.0,0.0,0.0,0.0,4.585432672552308e-06
dbscan,2,3,3.0,0.2500784151942746,0.8086333248404985,0.3705269012568584,71.70671085335543,99.74070872947277,83.43173876370646,1.1791602260973568,0.0,8.981832498908263e-11,4.751935130155489e-06,0.0,0.0,0.0,0.0,4.7519351302264995e-06
dbscan,2,4,2.0,0.2500784151942746,0.9130753758467877,0.3585366100765837,84.23423423423422,96.97493517718236,90.15668943350742,1.2716119859233714,0.0,8.981832498908263e-11,1.1838953560622045e-06,0.0,0.0,0.0,0.0,1.1838953560832905e-06
dbscan,2,5,2.0,0.2500784151942746,0.9057887435373851,0.35550028781196397,88.54332801701223,95.96658023624316,92.10562698741877,1.2612890313493492,0.0,8.981832498908263e-11,1.0913700167899174e-06,0.0,0.0,0.0,0.0,1.0913700167899174e-06
dbscan,2,7,2.0,0.2500784151942746,0.8994759149673413,0.348557464349722,13.883999999999999,100.0,24.38270520880896,1.2480333793170633,0.0,8.981832498908263e-11,1.0635613560602788e-06,0.0,0.0,0.0,0.0,1.0635613560334263e-06
dbscan,4,2,8.0,0.43117509635816414,0.6153052269824933,0.3606350395137891,7.486765817998488,8.556611927398444,7.986017746706104,0.9759402664962824,0.0,1.598848256068919e-09,6.448159814330615e-05,5.551115123125783e-17,0.0,0.0,0.0,6.448159814330615e-05
dbscan,4,3,5.0,0.43117509635816414,0.8236290712803997,0.3667679250295492,7.792089710158083,8.53740516661865,8.147738394617313,1.1903969963099488,0.0,1.598848256068919e-09,1.2093903485332751e-05,0.0003036689161933622,0.023360551516116355,0.027162461584041203,0.025136592292390018,0.00029772254287689615
