pca_dim,eps,min_samples,n_clusters_found,silhouette,mi,combined_score,precision,recall,f1,noise_percentage,n_clusters_found_std,silhouette_std,mi_std,combined_score_std,precision_std,recall_std,f1_std,noise_percentage_std
3,0.8,10,4.0,0.7147586297074838,0.3496343871276928,1.0643930168351767,100.0,92.507204610951,96.10778443113772,1.3,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0
3,0.8,15,4.0,0.7147586297074838,0.3496343871276928,1.0643930168351767,100.0,92.507204610951,96.10778443113772,1.3,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0
3,0.8,20,4.0,0.7147586297074838,0.3496343871276928,1.0643930168351767,100.0,92.507204610951,96.10778443113772,1.3,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0
3,0.8,50,3.0,0.8751131117693641,0.3491216264326315,1.2242347382019956,100.0,92.507204610951,96.10778443113772,1.7000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.2,5,48.0,0.8949106520652821,0.37770955878724943,1.2726202108525315,100.0,92.21902017291067,95.95202398800599,4.6,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0
4,0.2,10,33.0,0.9006038394358425,0.37322416981900797,1.2738280092548506,100.0,92.21902017291067,95.95202398800599,6.68,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0
4,0.2,15,24.0,0.9093777191637763,0.36996239115147106,1.2793401103152473,100.0,92.21902017291067,95.95202398800599,8.84,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0
4,0.2,20,20.0,0.9165210300988108,0.3683216205768118,1.2848426506756225,100.0,92.21902017291067,95.95202398800599,10.2,0.0,0.0,5.551115123125783e-17,0.0,0.0,1.4210854715202004e-14,0.0,0.0
4,0.2,50,11.0,0.9259257999545655,0.36329540767198704,1.2892212076265526,100.0,92.21902017291067,95.95202398800599,15.920000000000002,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0
4,0.3,5,35.0,0.6755335949906174,0.3819491458900248,1.0574827408806422,100.0,92.21902017291067,95.95202398800599,3.44,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0
4,0.3,10,25.0,0.7105951580712823,0.3765923187773012,1.0871874768485834,100.0,92.21902017291067,95.95202398800599,5.04,0.0,1.1102230246251565e-16,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0
4,0.3,15,19.0,0.7099170963256806,0.3731188752732317,1.0830359715989122,100.0,92.21902017291067,95.95202398800599,6.739999999999999,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,0.0,8.881784197001252e-16
4,0.3,20,16.0,0.7592564053854748,0.37153048738574346,1.1307868927712184,100.0,92.21902017291067,95.95202398800599,7.7200000000000015,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,0.0,8.881784197001252e-16
4,0.3,50,8.0,0.7702253068906625,0.3645452447497201,1.1347705516403825,100.0,92.21902017291067,95.95202398800599,14.24,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0
4,0.4,5,27.0,0.6900548089565154,0.38215904022447433,1.0722138491809896,100.0,92.21902017291067,95.95202398800599,2.6599999999999997,0.0,1.1102230246251565e-16,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0
4,0.4,10,22.0,0.6937583897726873,0.3797310836802396,1.073489473452927,100.0,92.21902017291067,95.95202398800599,3.5999999999999996,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0
4,0.4,15,17.0,0.699248022708351,0.3763993435364825,1.0756473662448336,100.0,92.21902017291067,95.95202398800599,5.220000000000001,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0
4,0.4,20,13.0,0.7650928500001889,0.37340198074367353,1.1384948307438623,100.0,92.21902017291067,95.95202398800599,6.580000000000001,0.0,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.0,1.4210854715202004e-14,0.0,8.881784197001252e-16
4,0.4,50,8.0,0.7721702626734221,0.3668001205345142,1.1389703832079365,100.0,92.21902017291067,95.95202398800599,11.660000000000002,0.0,0.0,5.551115123125783e-17,0.0,0.0,1.4210854715202004e-14,0.0,1.7763568394002505e-15
4,0.5,5,21.0,0.674223316328782,0.3852181468604659,1.059441463189248,100.0,92.21902017291067,95.95202398800599,2.06,0.0,1.1102230246251565e-16,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0
4,0.5,10,18.0,0.6669824550868996,0.38165221447990105,1.0486346695668005,100.0,92.21902017291067,95.95202398800599,2.72,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,0.0,4.440892098500626e-16
4,0.5,15,16.0,0.6680313655923529,0.3799688312048953,1.0480001967972483,100.0,92.21902017291067,95.95202398800599,3.5000000000000004,0.0,0.0,5.551115123125783e-17,0.0,0.0,1.4210854715202004e-14,0.0,0.0
4,0.5,20,15.0,0.7535188102911726,0.3765923187773019,1.1301111290684744,100.0,92.21902017291067,95.95202398800599,5.04,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0
4,0.5,50,8.0,0.7620086064413091,0.3678400891326061,1.129848695573915,100.0,92.21902017291067,95.95202398800599,10.639999999999999,0.0,0.0,5.551115123125783e-17,0.0,0.0,1.4210854715202004e-14,0.0,0.0
4,0.6,5,13.0,0.47813777307606226,0.38115766589523253,0.8592954389712948,100.0,92.21902017291067,95.95202398800599,1.72,0.0,0.0,5.551115123125783e-17,0.0,0.0,1.4210854715202004e-14,0.0,0.0
4,0.6,10,12.0,0.5016677965609005,0.3800930346221949,0.8817608311830955,100.0,92.21902017291067,95.95202398800599,2.06,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0
4,0.6,15,11.0,0.5001192924302996,0.3796623201526275,0.8797816125829273,100.0,92.21902017291067,95.95202398800599,2.64,0.0,0.0,0.0,1.1102230246251565e-16,0.0,1.4210854715202004e-14,0.0,0.0
4,0.6,20,10.0,0.4866302194460968,0.3770653393955705,0.8636955588416674,100.0,92.21902017291067,95.95202398800599,3.3000000000000003,0.0,0.0,0.0,1.1102230246251565e-16,0.0,1.4210854715202004e-14,0.0,0.0
